ScanId,Id,Event,EventDate,Message
9ec431d3-6e84-49dc-9c46-cba476f02362,6,PostScanStatusChange,03/15/2022 12:46:21,From Queued to Running
9ec431d3-6e84-49dc-9c46-cba476f02362,7,PostScanStatusChange,03/15/2022 12:46:21,From Running to Finished
9ec431d3-6e84-49dc-9c46-cba476f02362,2,PreScanStatusChange,03/15/2022 12:43:34,Set to Queued
9ec431d3-6e84-49dc-9c46-cba476f02362,3,PreScanStatusChange,03/15/2022 12:43:34,From Queued to Running
9ec431d3-6e84-49dc-9c46-cba476f02362,4,PreScanStatusChange,03/15/2022 12:43:34,From Running to Finished
9ec431d3-6e84-49dc-9c46-cba476f02362,1,ScanStatusChange,03/15/2022 12:43:34,Set to Queued
9ec431d3-6e84-49dc-9c46-cba476f02362,5,ScanStatusChange,03/15/2022 12:43:34,From Queued to Running
9ec431d3-6e84-49dc-9c46-cba476f02362,8,ScanStatusChange,03/15/2022 12:46:21,From Running to Finished
