ScanId,SiteUrl,StartDate,EndDate,ScanDuration,Status
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/,04/24/2025 14:07:07,04/24/2025 14:07:08,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/search,04/24/2025 14:07:18,04/24/2025 14:07:19,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130021,04/24/2025 14:06:26,04/24/2025 14:06:54,28,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130023,04/24/2025 14:06:40,04/24/2025 14:07:01,20,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130024,04/24/2025 14:07:09,04/24/2025 14:07:10,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130025,04/24/2025 14:07:21,04/24/2025 14:07:22,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130026,04/24/2025 14:07:27,04/24/2025 14:07:28,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130027,04/24/2025 14:06:26,04/24/2025 14:06:29,2,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130032,04/24/2025 14:07:02,04/24/2025 14:07:03,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130033,04/24/2025 14:07:14,04/24/2025 14:07:15,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130034,04/24/2025 14:07:27,04/24/2025 14:07:28,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130035,04/24/2025 14:07:14,04/24/2025 14:07:15,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130036,04/24/2025 14:07:20,04/24/2025 14:07:21,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130037,04/24/2025 14:07:08,04/24/2025 14:07:09,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130038,04/24/2025 14:07:16,04/24/2025 14:07:17,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130039,04/24/2025 14:07:20,04/24/2025 14:07:20,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130041,04/24/2025 14:07:31,04/24/2025 14:07:32,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130042,04/24/2025 14:07:11,04/24/2025 14:07:12,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130043,04/24/2025 14:07:09,04/24/2025 14:07:11,1,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130044,04/24/2025 14:07:20,04/24/2025 14:07:21,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130045,04/24/2025 14:06:24,04/24/2025 14:06:25,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130046,04/24/2025 14:07:17,04/24/2025 14:07:18,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130047,04/24/2025 14:07:22,04/24/2025 14:07:23,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130048,04/24/2025 14:07:28,04/24/2025 14:07:28,0,Finished
bef11eff-71c3-4b05-86e5-b0cea6348ee4,https://bertonline.sharepoint.com/sites/130049,04/24/2025 14:06:25,04/24/2025 14:06:25,0,Finished
