ScanId,AppIdentifier,ProductFeature,Scope,Right,ResourceId,RemediationCode
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|a4cdf20c-3385-4664-8302-5eab57ee6f14@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|a4cdf20c-3385-4664-8302-5eab57ee6f14@d8623c9e-30c7-473a-83bc-d907df44a26e,Search,search,QueryAsUserIgnoreAppPrincipal,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|a4cdf20c-3385-4664-8302-5eab57ee6f14@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|a4cdf20c-3385-4664-8302-5eab57ee6f14@d8623c9e-30c7-473a-83bc-d907df44a26e,Taxonomy,taxonomy,Write,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|a6fdef05-ff36-4b45-870b-dfede84e2e26@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|b140dd81-83f0-4335-a360-51524b987c40@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bac75fc4-23d9-4eb0-a7fc-1bbfe78c32a1@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Read,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bece581b-0357-40a1-ab8c-8b49c4f69cc0@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bece581b-0357-40a1-ab8c-8b49c4f69cc0@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Manage,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|c8c467d5-83d8-4538-8c23-3b8ff7ac701d@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
