ScanId,AppIdentifier,HasExpired,HasTenantScopedPermissions,HasSiteCollectionScopedPermissions,Title,AllowAppOnly,AppId,RedirectUri,AppDomains,ValidUntil,RemediationCode
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|a95865e2-4782-4bb0-b81f-1354f610864b@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,WebRole1,False,a95865e2-4782-4bb0-b81f-1354f610864b,,127.0.0.1,01/28/2015 22:49:52,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|aad424af-f77f-4851-8cf1-7f26b15b1a86@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,Core.Dialog,False,aad424af-f77f-4851-8cf1-7f26b15b1a86,,localhost:44326,09/11/2015 21:51:58,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|b051e06b-76d8-4144-9c54-763d881e2f84@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,Secondary Navigation,False,b051e06b-76d8-4144-9c54-763d881e2f84,,localhost:44310,01/27/2016 22:35:57,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|b140dd81-83f0-4335-a360-51524b987c40@d8623c9e-30c7-473a-83bc-d907df44a26e,True,True,False,SB scanner,True,b140dd81-83f0-4335-a360-51524b987c40,https://www.sbscanner.com/default.aspx,www.sbscanner.com,08/22/2017 12:31:40,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|ba979e74-6135-4b7e-8072-9fd5cf95cfa8@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,Contoso JavaScript customization app,True,ba979e74-6135-4b7e-8072-9fd5cf95cfa8,,localhost:44303,06/16/2016 15:16:02,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bac75fc4-23d9-4eb0-a7fc-1bbfe78c32a1@d8623c9e-30c7-473a-83bc-d907df44a26e,True,True,True,SharePointApp1,False,bac75fc4-23d9-4eb0-a7fc-1bbfe78c32a1,,localhost:44355,01/09/2016 17:25:16,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bca458b5-6ebd-4b79-bbb7-9c36002d6ab6@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,WebRole1,False,bca458b5-6ebd-4b79-bbb7-9c36002d6ab6,,127.0.0.1,01/29/2015 14:37:07,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bda36a3c-a988-46ec-9404-8554420f0814@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,BulkEdit Add-In,True,bda36a3c-a988-46ec-9404-8554420f0814,,localhost:44300,12/05/2016 14:30:01,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|bece581b-0357-40a1-ab8c-8b49c4f69cc0@d8623c9e-30c7-473a-83bc-d907df44a26e,True,True,True,OneDriveCustomizer,False,bece581b-0357-40a1-ab8c-8b49c4f69cc0,,bjansen-onedrivecustomizer.azurewebsites.net,05/13/2015 05:37:54,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|befe52a9-8b32-4a29-82cf-b910e6011424@d8623c9e-30c7-473a-83bc-d907df44a26e,True,False,True,DynamicPermissions,False,befe52a9-8b32-4a29-82cf-b910e6011424,https://localhost:44363/home/callback,Localhost,04/26/2015 16:32:26,
