ScanId,SiteUrl,StartDate,EndDate,ScanDuration,Status
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/,09/08/2023 12:59:06,09/08/2023 12:59:07,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/search,09/08/2023 13:01:08,09/08/2023 13:01:10,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130021,09/08/2023 12:57:27,09/08/2023 12:57:32,5,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130023,09/08/2023 12:57:35,09/08/2023 12:57:37,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130024,09/08/2023 12:59:21,09/08/2023 12:59:23,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130025,09/08/2023 13:01:21,09/08/2023 13:01:23,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130026,09/08/2023 13:01:39,09/08/2023 13:01:49,10,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130027,09/08/2023 12:57:29,09/08/2023 12:57:36,6,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130032,09/08/2023 12:57:41,09/08/2023 12:57:43,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130033,09/08/2023 12:59:36,09/08/2023 12:59:37,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130034,09/08/2023 13:01:39,09/08/2023 13:02:00,21,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130035,09/08/2023 12:59:34,09/08/2023 12:59:36,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130036,09/08/2023 13:01:15,09/08/2023 13:01:17,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130037,09/08/2023 12:59:08,09/08/2023 12:59:17,8,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130038,09/08/2023 12:59:46,09/08/2023 13:00:55,8,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130039,09/08/2023 13:01:15,09/08/2023 13:01:17,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130041,09/08/2023 13:03:40,09/08/2023 13:03:42,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130042,09/08/2023 12:59:27,09/08/2023 12:59:28,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130043,09/08/2023 12:59:20,09/08/2023 12:59:23,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130044,09/08/2023 13:01:18,09/08/2023 13:01:20,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130045,09/08/2023 12:57:19,09/08/2023 12:57:22,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130046,09/08/2023 13:01:03,09/08/2023 13:01:10,7,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130047,09/08/2023 13:01:23,09/08/2023 13:01:25,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130048,09/08/2023 13:01:49,09/08/2023 13:03:02,12,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130049,09/08/2023 12:57:22,09/08/2023 12:57:24,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130050,09/08/2023 12:59:33,09/08/2023 12:59:35,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130051,09/08/2023 12:59:27,09/08/2023 12:59:28,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130052,09/08/2023 13:01:23,09/08/2023 13:01:25,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130053,09/08/2023 13:03:29,09/08/2023 13:03:32,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130054,09/08/2023 13:00:42,09/08/2023 13:01:07,24,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130055,09/08/2023 12:57:34,09/08/2023 12:57:36,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130056,09/08/2023 12:57:21,09/08/2023 12:57:23,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130057,09/08/2023 13:00:57,09/08/2023 13:01:21,24,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130058,09/08/2023 12:59:00,09/08/2023 12:59:02,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130059,09/08/2023 12:59:19,09/08/2023 12:59:23,4,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130060,09/08/2023 13:03:51,09/08/2023 13:03:53,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130061,09/08/2023 12:57:15,09/08/2023 12:57:17,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130062,09/08/2023 12:57:25,09/08/2023 12:57:27,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130063,09/08/2023 13:01:30,09/08/2023 13:01:32,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130064,09/08/2023 13:01:23,09/08/2023 13:01:25,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130065,09/08/2023 12:59:40,09/08/2023 13:00:42,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130066,09/08/2023 12:59:25,09/08/2023 12:59:27,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130067,09/08/2023 13:03:29,09/08/2023 13:03:38,9,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130068,09/08/2023 12:59:39,09/08/2023 12:59:46,6,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130069,09/08/2023 12:57:27,09/08/2023 12:57:29,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130070,09/08/2023 12:59:27,09/08/2023 12:59:29,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130071,09/08/2023 13:01:25,09/08/2023 13:01:27,1,Finished
