ScanId,SiteUrl,LastItemUserModifiedDate,RootWebTemplate,SubWebTemplates,SubWebCount,SubWebDepth,ClassicLists,ModernLists,ClassicPages,ClassicWikiPages,ClassicASPXPages,ClassicBlogPages,ClassicWebPartPages,ClassicPublishingPages,ModernPages,ClassicWorkflows,ClassicInfoPathForms,ClassicExtensibilities,SharePointAddIns,AzureACSPrincipals,AggregatedRemediationCodes
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/sts3test,02/08/2019 09:10:21,STS#3,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/syntexcontentcenter005,12/07/2021 11:51:59,CONTENTCTR#0,,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/syntexcontentcenter1101,01/11/2022 08:51:16,CONTENTCTR#0,,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/teamify1,06/15/2020 16:07:53,GROUP#0,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/teamsitedemo,11/07/2017 16:51:15,STS#0,,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,CP2
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/teamsitemodernizationtemplate,05/14/2019 10:30:20,STS#0,,0,0,2,5,5,4,0,0,1,0,0,0,0,2,0,0,"CE9,CL2,CL3,CP2,CP1"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/temp2,02/11/2021 10:34:57,STS#0,STS#0,3,3,9,19,12,12,0,0,0,0,2,3,0,0,0,0,"CL1,CL4,CP2,WF1"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/temp3,03/18/2022 07:56:46,STS#0,STS#0,1,1,4,10,4,4,0,0,0,0,2,10,0,0,0,0,"CL1,CL4,CP2,WF1"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateBDR0,11/28/2019 20:45:57,BDR#0,,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,"CL5,CL3,CL4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateBICENTERSITE0,11/29/2019 08:06:58,BICENTERSITE#0,,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,"CL4,CL3,CL5"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateBLANKINTERNETCONTAINER0,11/28/2019 22:04:40,BLANKINTERNET#0,,0,0,5,5,2,0,0,0,0,2,0,0,0,0,0,0,"CS2,CL3,CL5,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateBLOG0,11/28/2019 19:13:00,BLOG#0,,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,"CS1,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateCMSPUBLISHING0,01/10/2020 08:40:55,BLANKINTERNET#0,BLANKINTERNET#0,1,1,8,6,3,0,0,0,0,3,0,0,0,0,0,0,"CS2,CL3,CL5,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateCOMMUNITY0,01/10/2020 09:00:44,COMMUNITY#0,,0,0,3,4,6,6,0,0,0,0,0,0,0,0,0,0,"CL4,CP2"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateCOMMUNITYPORTAL0,01/10/2020 09:02:23,COMMUNITYPORTAL#0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateDEV0,11/28/2019 21:07:35,STS#0,,0,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,"CL4,CP2"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateEHS1,11/28/2019 21:49:52,STS#0,,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,CP2
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateENTERWIKI0,01/10/2020 08:48:24,ENTERWIKI#0,,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"CL3,CL5,CL4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateGROUP0,05/22/2019 17:25:44,GROUP#0,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateOFFILE1,11/28/2019 21:40:33,OFFILE#1,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,CL4
