Id,Title,Name,Location,RegistrationType,RegistrationId,CommandAction,CommandUIExtension,Description,ScriptBlock,ScriptSrc,Url,Problem,ListId,ListUrl,ListTitle,RemediationCode,ScanId,SiteUrl,WebUrl
93185b0f-c179-4336-9a82-bb521b52fc58,,{93185b0f-c179-4336-9a82-bb521b52fc58},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130039,/
6e39c081-6716-4cca-a7c2-e1bafb251f15,,{6e39c081-6716-4cca-a7c2-e1bafb251f15},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130042,/
365be650-b7e6-49ba-8188-13a0dabd2fd8,,{365be650-b7e6-49ba-8188-13a0dabd2fd8},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130043,/
4c091e14-2681-40e1-aea9-2b20530c407c,,{4c091e14-2681-40e1-aea9-2b20530c407c},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130044,/
5788abb1-352a-413a-a998-a40147a862d4,,{5788abb1-352a-413a-a998-a40147a862d4},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130046,/
971bc877-6485-44cb-b26b-953131f88a59,,{971bc877-6485-44cb-b26b-953131f88a59},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130047,/
7746e239-2e3c-43e2-94f6-7db3a693029c,,{7746e239-2e3c-43e2-94f6-7db3a693029c},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130048,/
b8f41acf-ae0b-4adb-9072-5bd83bd8f6d0,,{b8f41acf-ae0b-4adb-9072-5bd83bd8f6d0},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130049,/
8c821e9a-bfa0-4e97-97d2-38d97bc53ad4,,{8c821e9a-bfa0-4e97-97d2-38d97bc53ad4},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130050,/
16427c72-474c-4bf7-8802-d9e47be062c5,,{16427c72-474c-4bf7-8802-d9e47be062c5},ScriptLink,None,,,,sitesportal_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/Templates/teamsite_resources.js?rev=4';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130051,/
32871673-077a-4d12-817a-f18bed153739,,{32871673-077a-4d12-817a-f18bed153739},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://bertonline.sharepoint.com/sites/scripts/_catalogs/masterpage/KBC/js/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130051,/
3caab53c-c38a-4f51-b24d-4d68e3b30c52,,{3caab53c-c38a-4f51-b24d-4d68e3b30c52},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130052,/
78a227d6-9111-4cd8-888b-7bc65855d5a1,,{78a227d6-9111-4cd8-888b-7bc65855d5a1},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130053,/
670880d2-06b8-4663-b826-fe5109e8f915,,{670880d2-06b8-4663-b826-fe5109e8f915},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130054,/
ab984c31-098d-4a52-8eca-4789b7e0c9ee,,{ab984c31-098d-4a52-8eca-4789b7e0c9ee},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130055,/
4b8695d5-ef70-4c73-b9ef-5dcf97fe3f9a,,{4b8695d5-ef70-4c73-b9ef-5dcf97fe3f9a},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130056,/
6680cbf4-20b3-4c17-b806-ee19c38df862,Manage Reported Posts,{6680cbf4-20b3-4c17-b806-ee19c38df862},Microsoft.SharePoint.SiteSettings,None,,,,Manage posts that were reported as offensive.,,,/sites/130056/Lists/Community Discussion/Reported Posts.aspx?ShowModerationTab=1,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130056,/
c759134f-ad8e-4cd6-8654-7ebf6083f003,,{c759134f-ad8e-4cd6-8654-7ebf6083f003},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130058,/
bd746d1a-7f4c-4c76-893b-99edd8d45586,,{bd746d1a-7f4c-4c76-893b-99edd8d45586},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130059,/
f4a84eb8-1c38-4955-a6b8-f3723c1b673f,,{f4a84eb8-1c38-4955-a6b8-f3723c1b673f},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130060,/
610e1a55-76bb-4901-8a1b-5b873640c5f0,,{610e1a55-76bb-4901-8a1b-5b873640c5f0},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130062,/
f43a9950-1465-4a7c-9de9-16fa5670426d,,{f43a9950-1465-4a7c-9de9-16fa5670426d},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130063,/
7706fc1c-e7bc-4992-b3c8-770bc7344502,,{7706fc1c-e7bc-4992-b3c8-770bc7344502},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130064,/
fb3a3773-d3f0-41b7-a0b2-766b550d5380,,{fb3a3773-d3f0-41b7-a0b2-766b550d5380},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130065,/
931f8e85-4d38-45b3-8f1b-3169c31d854a,,{931f8e85-4d38-45b3-8f1b-3169c31d854a},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=2';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130066,/
df8cd9b4-f87f-487a-8778-f59bb40728b2,,{df8cd9b4-f87f-487a-8778-f59bb40728b2},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=3';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130067,/
591bcd79-fb79-41c3-8e90-e6bcc1bddb91,,{591bcd79-fb79-41c3-8e90-e6bcc1bddb91},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=3';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130068,/
d8c95d93-f02b-493f-b193-39547384b6d0,,{d8c95d93-f02b-493f-b193-39547384b6d0},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=3';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130069,/
712db48e-374c-40de-8c00-c23120b3ab26,,{712db48e-374c-40de-8c00-c23120b3ab26},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=3';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130070,/
a33eba8f-5f67-4797-b214-2341a72be461,,{a33eba8f-5f67-4797-b214-2341a72be461},ScriptLink,None,,,,teamsite_resources,"
var headID = document.getElementsByTagName('head')[0]; 
var
newScript = document.createElement('script');
newScript.type = 'text/javascript';
newScript.src = 'https://spprov.set1.bertonline.info/templates/teamsite_resources.js?rev=3';
headID.appendChild(newScript);",,,InvalidLocation,00000000-0000-0000-0000-000000000000,,,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130071,/
