UsesCustomMasterPage,MasterPage,CustomMasterPage,UsesCustomCSS,AlternateCSS,UsesCustomTheme,UsesUserCustomAction,HasSharePointAddIns,RemediationCode,ScanId,SiteUrl,WebUrl
False,,,True,https://pnppartnerpack-bertonline.azurewebsites.net/Templates/Responsive/SPO-Responsive.css,False,True,False,"CE4,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/clrdemo3,/
False,,,False,,False,True,False,CE8,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/contosodemo5,/
False,,,False,,False,True,False,CE8,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/contosodemo6,/
False,,,False,,False,True,False,"CE8,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/contosoelectronicsdrones,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/dev,/contosoteam
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/dev,/gtb
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/dev,/gtb1
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/dev,/gtb2
False,,,True,/sites/dev/yammer4/SiteAssets/contoso.css,False,False,False,CE4,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/dev,/yammer4
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/dev3,/
False,,,False,,False,True,False,"CE9,CE8",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/devaccenture,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/devbiwug,/
False,,,False,,False,True,False,CE8,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/devclr,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/ecs2018demo1,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/ecs2018demo2,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/ecs2018test1,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espc2019Modernize01,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espc2019Modernize02,/
False,,,True,/sites/espc2019Modernize03/siteassets/alternate.css,False,True,False,"CE4,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espc2019Modernize03,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espc2019Modernize04,/
False,,,False,,False,True,False,"CE8,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espcteamsite1,/
False,,,False,,False,True,False,CE8,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espctest1,/
False,,,False,,False,True,False,CE8,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/espctest2,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/jsloadtest,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/kbcportal,/
False,,,False,,False,True,False,CE8,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizationtest,/
False,,,False,,False,True,False,"CE9,CE8",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizationtestpages,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizefrp01,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizefrp02,/
False,,,True,/sites/modernizefrp03/siteassets/alternate.css,False,True,False,"CE4,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizefrp03,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizeme02,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizeme03,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/modernizeme04,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/p2,/
True,,/sites/pagetransformationdemoportal/_catalogs/masterpage/ContosoDrones.master,False,,False,False,False,CE3,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/pagetransformationdemoportal,/
True,,/sites/pagetransformationdemoportal/_catalogs/masterpage/ContosoDrones.master,False,,False,False,False,CE3,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/pagetransformationdemoportal,/hr
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/pnppartnerpack3,/
False,,,True,https://pnppartnerpack-bertonline.azurewebsites.net/Templates/Responsive/SPO-Responsive.css,False,True,False,"CE4,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/pnppartnerpacktest2,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/pnptemplate1,/
True,,/sites/portaldemo/_catalogs/masterpage/Portal.DataAccessLayer.master,False,,False,False,False,CE3,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/portaldemo,/
True,,/sites/portaldemo/_catalogs/masterpage/Portal.DataAccessLayer.master,False,,False,False,False,CE3,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/portaldemo,/dal
False,,,True,/sites/responsivedesign/SiteAssets/spe-seattle-responsive.css,False,False,False,CE4,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/responsivedesign,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/spcna01,/
False,,,True,/sites/spcna02/siteassets/alternate.css,False,True,False,"CE4,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/spcna02,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/spcna03,/
False,,,True,/sites/spcnatest01/siteassets/alternate.css,False,True,False,"CE4,CE9",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/spcnatest01,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/spcnatest02,/
False,,,False,,False,True,False,CE9,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/teamsitemodernizationtemplate,/
