ListId,FieldId,InternalName,Name,TypeAsString,Required,Hidden,TermSetId,ScanId,SiteUrl,WebUrl
4dedfe3e-7350-43c7-948a-db981312b102,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Contoso,/
4dedfe3e-7350-43c7-948a-db981312b102,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Contoso,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ContosoBrand,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ContosoBrand,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ContosoNews,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ContosoNews,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ContosoWorks,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ContosoWorks,/
4dedfe3e-7350-43c7-948a-db981312b102,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Contosomarketing,/
4dedfe3e-7350-43c7-948a-db981312b102,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Contosomarketing,/
7b89b488-63f2-4aa5-bf2f-05ec17ca2612,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Demo,/
7b89b488-63f2-4aa5-bf2f-05ec17ca2612,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Demo,/
