WebUrlAbsolute,StartDate,EndDate,ScanDuration,Status,Template,ScanId,SiteUrl,WebUrl
https://m365x25488756.sharepoint.com/sites/Mark8ProjectTeam,04/11/2022 13:27:57,04/11/2022 13:28:00,3,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/Mark8ProjectTeam,/
https://m365x25488756.sharepoint.com/sites/ProjectFalcon-UXtest,04/11/2022 13:28:19,04/11/2022 13:28:22,2,Finished,SITEPAGEPUBLISHING#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/ProjectFalcon-UXtest,/
https://m365x25488756.sharepoint.com/sites/Remoteliving,04/11/2022 13:28:05,04/11/2022 13:28:06,0,Failed,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/Remoteliving,/
https://m365x25488756.sharepoint.com/sites/Retail,04/11/2022 13:27:59,04/11/2022 13:28:02,3,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/Retail,/
https://m365x25488756.sharepoint.com/sites/RetailOperations,04/11/2022 13:28:13,04/11/2022 13:28:15,2,Finished,SITEPAGEPUBLISHING#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/RetailOperations,/
https://m365x25488756.sharepoint.com/sites/SGTeam,04/11/2022 13:28:20,04/11/2022 13:28:23,2,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/SGTeam,/
https://m365x25488756.sharepoint.com/sites/SOCTeam,04/11/2022 13:28:02,04/11/2022 13:28:05,2,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/SOCTeam,/
https://m365x25488756.sharepoint.com/sites/SalesAndMarketing,04/11/2022 13:27:56,04/11/2022 13:27:58,2,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/SalesAndMarketing,/
https://m365x25488756.sharepoint.com/sites/SyntexContentCenter,04/11/2022 13:28:30,04/11/2022 13:28:33,3,Finished,CONTENTCTR#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/SyntexContentCenter,/
https://m365x25488756.sharepoint.com/sites/SyntexDemo,04/11/2022 13:28:24,04/11/2022 13:28:29,5,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/SyntexDemo,/
https://m365x25488756.sharepoint.com/sites/ThePerspective,04/11/2022 13:28:16,04/11/2022 13:28:18,2,Finished,SITEPAGEPUBLISHING#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/ThePerspective,/
https://m365x25488756.sharepoint.com/sites/TopicCenter,04/11/2022 13:28:06,04/11/2022 13:28:09,2,Finished,SITEPAGEPUBLISHING#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/TopicCenter,/
https://m365x25488756.sharepoint.com/sites/USSales,04/11/2022 13:28:01,04/11/2022 13:28:04,2,Finished,GROUP#0,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/USSales,/
