ListId,FileType,ItemCount,ScanId,SiteUrl,WebUrl
37726f50-b250-4f2c-b15b-768ef0421d62,cs,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
981061e4-2c06-4ccf-9528-6ddc5c8bc721,csv,2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
f90d07e0-bbea-4464-9611-f695d0b7b3e4,csv,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
640cdd60-6b24-420a-93b0-81e4e82c0d89,docx,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/temp2,/
9dc24066-c962-459a-9d71-5d5a80f28f17,docx,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/temp2,/
41d6a52a-77de-49ec-bb61-f28a07a6437c,docx,4,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
9c973490-7a51-4400-baae-ea38f93df947,docx,2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
b0aceb5a-62f7-47a3-8dac-46bb9907fb78,docx,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
e6dada45-c106-47f6-8729-0824213e62c0,docx,4,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
f2bade28-8f7e-4eb3-9591-a10c6e412071,docx,2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
f90d07e0-bbea-4464-9611-f695d0b7b3e4,docx,3,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
9c973490-7a51-4400-baae-ea38f93df947,dwg,2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
9c973490-7a51-4400-baae-ea38f93df947,jpg,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
7234b2c2-f0f6-46fe-831c-f1168402b596,log,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/sub2
6b33652c-6388-41bb-ae39-bfce7663e24f,md,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/temp2,/s1/s11
f90d07e0-bbea-4464-9611-f695d0b7b3e4,md,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
b0aceb5a-62f7-47a3-8dac-46bb9907fb78,mp4,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
019f6a9c-fccc-418f-bf1b-a66ee813277e,pdf,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
912f1253-d4f6-40c6-bc85-bea718e2f212,pdf,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
9c973490-7a51-4400-baae-ea38f93df947,pdf,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
ecf2f1e9-3380-4c2e-841d-7387a5a5b726,pdf,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
e6dada45-c106-47f6-8729-0824213e62c0,png,2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
f2bade28-8f7e-4eb3-9591-a10c6e412071,png,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
f90d07e0-bbea-4464-9611-f695d0b7b3e4,pptx,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
37726f50-b250-4f2c-b15b-768ef0421d62,tst,100440,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
a2c9be0f-af11-45bb-8a8e-60ef5665b70c,tst,2499,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
4c42d6aa-fa61-4256-afb7-ee1a10d6b5a8,xml,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
e926fec2-8e3c-4f47-a74c-3b4b310fc0e3,xoml,1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/temp2,/
